rank,num_procs,run,elapsed_time,comm_time,local_nz,ghost_entries,local_flops,matrix
31,32,8,0.184955835,0.176001549,12985,10662,25970,Andrews
31,32,9,0.089998007,0.088103533,12985,10662,25970,Andrews
10,32,0,0.192982674,0.191999674,12701,10351,25402,Andrews
10,32,1,0.191984892,0.190992594,12701,10351,25402,Andrews
10,32,2,0.295994759,0.196009636,12701,10351,25402,Andrews
10,32,3,0.190996170,0.096032619,12701,10351,25402,Andrews
10,32,4,0.287985563,0.191999912,12701,10351,25402,Andrews
10,32,5,0.098796368,0.098637581,12701,10351,25402,Andrews
10,32,6,0.097985029,0.096035004,12701,10351,25402,Andrews
10,32,7,0.194982052,0.192017794,12701,10351,25402,Andrews
10,32,8,0.096740723,0.096038103,12701,10351,25402,Andrews
10,32,9,0.099350452,0.096118689,12701,10351,25402,Andrews
29,32,0,0.178981066,0.176038980,13327,11007,26654,Andrews
29,32,1,0.098894119,0.098778009,13327,11007,26654,Andrews
29,32,2,0.090941906,0.088001728,13327,11007,26654,Andrews
29,32,3,0.091988325,0.088070869,13327,11007,26654,Andrews
29,32,4,0.190991163,0.184036255,13327,11007,26654,Andrews
29,32,5,0.089989901,0.088065863,13327,11007,26654,Andrews
29,32,6,0.178988934,0.176013470,13327,11007,26654,Andrews
29,32,7,0.088992596,0.088064671,13327,11007,26654,Andrews
29,32,8,0.096838951,0.096712112,13327,11007,26654,Andrews
29,32,9,0.092274666,0.088085890,13327,11007,26654,Andrews
17,32,0,0.284998655,0.192017317,13019,10627,26038,Andrews
17,32,1,0.275007486,0.191007137,13019,10627,26038,Andrews
17,32,2,0.099004745,0.096037865,13019,10627,26038,Andrews
17,32,3,0.192007780,0.096034527,13019,10627,26038,Andrews
17,32,4,0.287999868,0.192007065,13019,10627,26038,Andrews
17,32,5,0.191989183,0.096055269,13019,10627,26038,Andrews
17,32,6,0.097994804,0.096035719,13019,10627,26038,Andrews
17,32,7,0.098996401,0.096042871,13019,10627,26038,Andrews
17,32,8,0.096158981,0.096043110,13019,10627,26038,Andrews
17,32,9,0.096180439,0.096066236,13019,10627,26038,Andrews
26,32,0,0.263987064,0.263036251,12594,10236,25188,Andrews
26,32,1,0.273989201,0.264041662,12594,10236,25188,Andrews
26,32,2,0.178985596,0.176007032,12594,10236,25188,Andrews
26,32,3,0.179964542,0.176061630,12594,10236,25188,Andrews
26,32,4,0.192986488,0.184017658,12594,10236,25188,Andrews
26,32,5,0.090988398,0.088056087,12594,10236,25188,Andrews
26,32,6,0.091833353,0.091711044,12594,10236,25188,Andrews
26,32,7,0.088984013,0.088054657,12594,10236,25188,Andrews
26,32,8,0.097992182,0.088067293,12594,10236,25188,Andrews
26,32,9,0.089987516,0.088078260,12594,10236,25188,Andrews
18,32,0,0.288976669,0.191998005,12733,10394,25466,Andrews
18,32,1,0.278990746,0.191001177,12733,10394,25466,Andrews
18,32,2,0.191991806,0.096028328,12733,10394,25466,Andrews
18,32,3,0.187998056,0.095052719,12733,10394,25466,Andrews
18,32,4,0.287987232,0.192005634,12733,10394,25466,Andrews
18,32,5,0.097982645,0.096035242,12733,10394,25466,Andrews
18,32,6,0.096152782,0.096035957,12733,10394,25466,Andrews
18,32,7,0.096154928,0.096038103,12733,10394,25466,Andrews
18,32,8,0.096159935,0.096036196,12733,10394,25466,Andrews
18,32,9,0.096184731,0.096059561,12733,10394,25466,Andrews
24,32,0,0.321329594,0.318373203,12576,10213,25152,Andrews
24,32,1,0.273987293,0.264034510,12576,10213,25152,Andrews
24,32,2,0.176975965,0.176053047,12576,10213,25152,Andrews
24,32,3,0.172195196,0.172062397,12576,10213,25152,Andrews
24,32,4,0.267976522,0.261019945,12576,10213,25152,Andrews
24,32,5,0.178960800,0.176015139,12576,10213,25152,Andrews
24,32,6,0.178980350,0.176037788,12576,10213,25152,Andrews
24,32,7,0.176980019,0.176028728,12576,10213,25152,Andrews
24,32,8,0.183983326,0.176058054,12576,10213,25152,Andrews
24,32,9,0.180569887,0.176056862,12576,10213,25152,Andrews
